ident,latitude,longitude,country_code,country_name
LOVIM,24.49575,54.56497222222222,AE,United Arab Emirates
LOVOL,25.144166666666667,55.56727777777778,AE,United Arab Emirates
LOXAT,25.363725000000002,52.757155555555556,AE,United Arab Emirates
LUDER,24.959166666666665,55.08638888888889,AE,United Arab Emirates
LUDID,23.040833333333335,55.3,AE,United Arab Emirates
MAXMO,25.718888888888888,55.68944444444444,AE,United Arab Emirates
MEKMA,24.90833333333333,52.418055555555554,AE,United Arab Emirates
MEMBI,24.618055555555557,54.44194444444444,AE,United Arab Emirates
MIADA,24.853333333333335,54.96,AE,United Arab Emirates
MIRUN,25.0713,56.43262222222222,AE,United Arab Emirates
MISOD,24.316666666666666,54.733333333333334,AE,United Arab Emirates
MODUS,25.185,55.486583333333336,AE,United Arab Emirates
MURAK,24.371944444444445,54.73719444444445,AE,United Arab Emirates
MUSEN,24.24138888888889,54.54333333333333,AE,United Arab Emirates
MUTVI,25.616666666666667,54.92611111111111,AE,United Arab Emirates
MUXIT,23.04138888888889,52.50666666666667,AE,United Arab Emirates
NABOP,25.435277777777777,54.56805555555556,AE,United Arab Emirates
NADNI,25.320833333333333,55.94972222222222,AE,United Arab Emirates
NALTA,25.045,55.665277777777774,AE,United Arab Emirates
NAMSI,24.62527777777778,54.946666666666665,AE,United Arab Emirates
NASRR,25.029077777777776,55.58759444444445,AE,United Arab Emirates
NIBAX,24.96333333333333,54.243611111111115,AE,United Arab Emirates
NIGEL,23.03218611111111,55.24254722222222,AE,United Arab Emirates
NIVRO,25.03928888888889,56.51743333333333,AE,United Arab Emirates
NOBTO,23.92361111111111,55.31111111111111,AE,United Arab Emirates
NOMRU,25.306944444444444,55.10777777777778,AE,United Arab Emirates
OBNEL,25.149722222222223,55.575,AE,United Arab Emirates
ODKOS,24.362344444444446,54.75069444444444,AE,United Arab Emirates
ORDEB,25.190255555555556,55.49456111111111,AE,United Arab Emirates
ORKON,25.07194722222222,56.43093611111111,AE,United Arab Emirates
OSTIN,25.1225,55.6,AE,United Arab Emirates
PAXES,25.0427,56.508491666666664,AE,United Arab Emirates
PEBAT,25.864722222222223,54.399166666666666,AE,United Arab Emirates
PINGO,25.38611111111111,55.130833333333335,AE,United Arab Emirates
PUTUN,25.038122222222224,56.52129722222222,AE,United Arab Emirates
R1800,25.252827777777778,55.36436944444445,AE,United Arab Emirates
R1801,25.23591388888889,55.394875,AE,United Arab Emirates
R1802,25.105658333333334,56.34140277777778,AE,United Arab Emirates
R3022,25.264633333333332,55.35038611111111,AE,United Arab Emirates
R3023,25.247683333333335,55.38095,AE,United Arab Emirates
R5004,24.444388888888888,54.63520555555556,AE,United Arab Emirates
R5005,24.421708333333335,54.66715833333333,AE,United Arab Emirates
RADSO,24.367722222222223,54.74536111111111,AE,United Arab Emirates
RAGOL,25.461944444444445,55.1275,AE,United Arab Emirates
RALDA,24.55252777777778,54.4855,AE,United Arab Emirates
RAMRO,25.27722222222222,52.94777777777777,AE,United Arab Emirates
RANBI,25.31888888888889,54.75,AE,United Arab Emirates
RAPSA,25.616666666666667,54.28333333333333,AE,United Arab Emirates
RIDEX,24.315963888888888,54.81585833333333,AE,United Arab Emirates
RIKET,25.31638888888889,56.03333333333333,AE,United Arab Emirates
ROVOS,24.306944444444444,55.36194444444445,AE,United Arab Emirates
RUKIX,25.080780555555556,56.40750555555555,AE,United Arab Emirates
SEDPO,25.141638888888888,55.564527777777776,AE,United Arab Emirates
SENSU,24.3035,54.83383333333334,AE,United Arab Emirates
SENTO,25.316944444444445,54.630833333333335,AE,United Arab Emirates
SEPRA,25.00466388888889,56.608980555555554,AE,United Arab Emirates
SHJ48,25.30777777777778,56.394444444444446,AE,United Arab Emirates
SHJ59,25.863055555555558,54.60388888888889,AE,United Arab Emirates
SIGBO,24.92388888888889,54.948055555555555,AE,United Arab Emirates
SIKNU,25.29227777777778,55.28355555555555,AE,United Arab Emirates
SINBI,25.145,54.628055555555555,AE,United Arab Emirates
SIXAN,25.334138888888887,55.19347222222222,AE,United Arab Emirates
SIXAV,25.25841388888889,56.568958333333335,AE,United Arab Emirates
SOBER,24.661666666666665,54.50888888888889,AE,United Arab Emirates
SODAM,24.494694444444445,54.56419444444444,AE,United Arab Emirates
SOLAG,25.09459722222222,56.370805555555556,AE,United Arab Emirates
SOLAS,24.551055555555557,54.484722222222224,AE,United Arab Emirates
SUTVA,24.21388888888889,54.81027777777778,AE,United Arab Emirates
TAGPA,25.192411111111113,55.474872222222224,AE,United Arab Emirates
TANGA,24.932222222222222,54.64138888888889,AE,United Arab Emirates
TANSU,22.693333333333335,54.474444444444444,AE,United Arab Emirates
TOPSI,25.152777777777775,53.2,AE,United Arab Emirates
TORSO,24.51972222222222,54.379444444444445,AE,United Arab Emirates
TOXIG,24.533333333333335,53.91722222222222,AE,United Arab Emirates
TUBAT,25.289916666666667,56.61190555555556,AE,United Arab Emirates
TUDAX,25.744444444444447,53.28194444444444,AE,United Arab Emirates
TUKLA,25.326666666666668,55.669444444444444,AE,United Arab Emirates
TULAB,24.315472222222223,54.81655555555555,AE,United Arab Emirates
UKRIM,25.36777777777778,55.16383333333333,AE,United Arab Emirates
UMALI,25.324416666666668,55.24236111111111,AE,United Arab Emirates
VAVIL,25.651666666666664,53.24055555555556,AE,United Arab Emirates
VEBAT,24.808333333333334,52.85,AE,United Arab Emirates
VEDEX,24.56722222222222,54.461666666666666,AE,United Arab Emirates
VEMEN,24.91222222222222,55.94138888888889,AE,United Arab Emirates
YOUNS,25.030147222222222,55.58824166666667,AE,United Arab Emirates
ALKAD,24.488055555555558,54.196666666666665,AE,United Arab Emirates
ALMAK,25.052500000000002,52.525555555555556,AE,United Arab Emirates
ALNUM,24.85,56.266666666666666,AE,United Arab Emirates
ALRIG,24.90722222222222,54.9675,AE,United Arab Emirates
AMBOX,24.059444444444445,55.594166666666666,AE,United Arab Emirates
ASLEV,25.424722222222222,55.22805555555556,AE,United Arab Emirates
ASLOL,25.422222222222224,55.99638888888889,AE,United Arab Emirates
ASPAM,25.31833333333333,55.24888888888889,AE,United Arab Emirates
ASVAD,24.0975,55.58583333333333,AE,United Arab Emirates
BONUN,24.773333333333333,55.50083333333333,AE,United Arab Emirates
BORAP,25.14527777777778,54.82805555555556,AE,United Arab Emirates
BORIM,24.609444444444446,54.198055555555555,AE,United Arab Emirates
DAMUK,24.11388888888889,55.588055555555556,AE,United Arab Emirates
DANIG,25.030277777777776,56.54111111111111,AE,United Arab Emirates
DATIK,24.358333333333334,55.62777777777778,AE,United Arab Emirates
DAXAR,25.19275,55.479888888888894,AE,United Arab Emirates
DEBES,25.69527777777778,55.40138888888889,AE,United Arab Emirates
DEBKI,24.64611111111111,54.33166666666667,AE,United Arab Emirates
DEDEV,25.247694444444445,55.380944444444445,AE,United Arab Emirates
DEKPU,25.271666666666665,55.776666666666664,AE,United Arab Emirates
DENBO,24.592777777777776,54.812777777777775,AE,United Arab Emirates
EGSAX,24.291111111111114,54.64472222222222,AE,United Arab Emirates
EGTIS,25.40222222222222,55.07055555555556,AE,United Arab Emirates
EGVOS,24.31388888888889,54.85138888888889,AE,United Arab Emirates
ELAVU,24.566944444444445,54.26416666666667,AE,United Arab Emirates
ELESO,25.47083333333333,55.38583333333333,AE,United Arab Emirates
ELIMA,25.295,55.291666666666664,AE,United Arab Emirates
EMATI,24.391944444444444,54.918055555555554,AE,United Arab Emirates
EMOPI,25.43888888888889,56.15,AE,United Arab Emirates
